"Date","Price","Open","High","Low","Vol.","Change %"
"06/21/2024","2,451.303","2,493.092","2,503.344","2,445.677","","-1.68%"
"06/20/2024","2,493.092","2,435.345","2,497.926","2,433.146","","2.37%"
"06/19/2024","2,435.456","2,436.635","2,448.529","2,430.182","","-0.02%"
"06/18/2024","2,436.057","2,449.653","2,454.748","2,421.340","","-0.56%"
"06/17/2024","2,449.718","2,458.624","2,459.237","2,435.882","","-0.39%"
"06/14/2024","2,459.415","2,405.456","2,462.889","2,404.701","","2.23%"
"06/13/2024","2,405.699","2,410.668","2,415.270","2,383.526","","-0.30%"
"06/12/2024","2,412.991","2,408.390","2,430.858","2,402.604","","0.19%"
"06/11/2024","2,408.455","2,405.429","2,414.930","2,390.975","","0.12%"
"06/10/2024","2,405.601","2,393.399","2,410.018","2,380.599","","0.81%"
"06/07/2024","2,386.213","2,467.801","2,478.841","2,379.891","","-3.31%"
"06/06/2024","2,467.962","2,444.519","2,469.064","2,437.617","","0.97%"
"06/05/2024","2,444.229","2,444.258","2,455.208","2,426.466","","0.00%"
"06/04/2024","2,444.193","2,432.800","2,447.425","2,413.753","","0.49%"
"06/03/2024","2,432.193","2,410.940","2,437.148","2,395.674","","0.99%"
"05/31/2024","2,408.353","2,430.332","2,443.110","2,404.740","","-0.91%"
"05/30/2024","2,430.407","2,425.847","2,439.027","2,410.506","","0.17%"
"05/29/2024","2,426.371","2,446.482","2,448.047","2,419.590","","-0.83%"
"05/28/2024","2,446.772","2,428.344","2,449.104","2,419.052","","0.76%"
"05/27/2024","2,428.312","2,421.601","2,439.492","2,418.677","","0.43%"
"05/24/2024","2,417.856","2,416.182","2,432.930","2,409.323","","0.06%"
"05/23/2024","2,416.316","2,462.076","2,467.347","2,408.517","","-2.03%"
"05/22/2024","2,466.278","2,506.879","2,511.612","2,460.693","","-1.61%"
"05/21/2024","2,506.715","2,513.081","2,519.959","2,495.396","","-0.26%"
"05/20/2024","2,513.360","2,509.310","2,536.530","2,495.191","","0.51%"
"05/17/2024","2,500.555","2,466.953","2,511.667","2,462.463","","1.38%"
"05/16/2024","2,466.537","2,472.671","2,485.280","2,451.097","","-0.28%"
"05/15/2024","2,473.467","2,445.280","2,477.572","2,438.660","","1.16%"
"05/14/2024","2,445.115","2,425.395","2,451.166","2,419.486","","0.81%"
"05/13/2024","2,425.588","2,448.905","2,452.110","2,415.534","","-0.76%"
"05/10/2024","2,444.207","2,436.333","2,466.832","2,434.617","","0.33%"
"05/09/2024","2,436.172","2,402.488","2,437.093","2,389.767","","1.58%"
"05/08/2024","2,398.164","2,401.386","2,408.526","2,389.983","","-0.13%"
"05/07/2024","2,401.244","2,415.190","2,417.845","2,395.755","","-0.48%"
"05/06/2024","2,412.900","2,383.710","2,418.498","2,379.832","","0.82%"
"05/03/2024","2,393.358","2,401.057","2,412.461","2,368.790","","-0.24%"
"05/02/2024","2,399.006","2,412.428","2,421.682","2,378.903","","-0.57%"
"05/01/2024","2,412.833","2,388.645","2,429.015","2,378.792","","1.08%"
"04/30/2024","2,386.959","2,432.863","2,436.120","2,379.442","","-1.90%"
"04/29/2024","2,433.209","2,443.377","2,443.831","2,408.239","","-0.26%"
"04/26/2024","2,439.604","2,438.647","2,465.047","2,431.407","","0.04%"
"04/25/2024","2,438.620","2,426.117","2,451.856","2,417.355","","0.52%"
"04/24/2024","2,426.019","2,430.898","2,444.811","2,417.242","","-0.23%"
"04/23/2024","2,431.581","2,444.534","2,450.903","2,401.431","","-0.50%"
"04/22/2024","2,443.844","2,503.753","2,503.753","2,430.655","","-1.99%"
"04/19/2024","2,493.436","2,492.635","2,534.119","2,479.087","","0.03%"
"04/18/2024","2,492.570","2,472.371","2,499.021","2,471.650","","0.83%"
"04/17/2024","2,471.945","2,490.837","2,504.059","2,458.655","","-0.76%"
"04/16/2024","2,490.779","2,484.640","2,506.292","2,465.462","","0.23%"
"04/15/2024","2,485.150","2,463.751","2,495.074","2,422.680","","1.89%"
"04/12/2024","2,439.118","2,480.238","2,528.240","2,428.641","","-1.38%"
"04/11/2024","2,473.228","2,424.452","2,480.907","2,415.674","","2.01%"
"04/10/2024","2,424.573","2,441.074","2,447.853","2,406.275","","-0.68%"
"04/09/2024","2,441.074","2,419.830","2,450.267","2,417.070","","0.93%"
"04/08/2024","2,418.581","2,376.650","2,419.993","2,370.548","","0.80%"
"04/05/2024","2,399.294","2,352.279","2,400.648","2,330.602","","2.00%"
"04/04/2024","2,352.342","2,360.077","2,367.074","2,339.711","","-0.32%"
"04/03/2024","2,359.833","2,350.301","2,366.057","2,326.856","","0.38%"
"04/02/2024","2,350.943","2,332.302","2,357.868","2,322.399","","0.75%"
"04/01/2024","2,333.355","2,341.968","2,362.756","2,299.891","","0.25%"
"03/29/2024","2,327.473","2,326.080","2,333.346","2,310.567","","0.06%"
"03/28/2024","2,326.052","2,275.403","2,328.663","2,272.055","","2.23%"
"03/27/2024","2,275.338","2,257.633","2,278.135","2,250.499","","0.79%"
